,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,REE
RJ-D1-5,8.259914539,50.95530873,1.907295047,6.962145757,1.067322143,0.134475139,0.753050344,0.143168438,0.55804124,0.171271224,0.347921643,0.075918065,0.288881372,0.041271477,3.580851639,75.2468368
RJ-D1-12,29.51271167,32.29034064,6.82733197,24.75131542,3.316876712,0.257627925,1.910747567,0.337337233,1.14579307,0.306965053,0.566249193,0.112484778,0.418007066,0.05924082,6.075967628,107.8889967
RJ-D1-10,20.70572779,27.42797897,4.253767037,15.21450324,2.020278006,0.174907578,1.272540501,0.218676395,0.746270837,0.215676175,0.386367201,0.075044678,0.25693589,0.037133935,4.702541206,77.70834943
RJ-D16-2,3.061517154,75.56747231,0.604752275,2.256306426,0.345398377,0.04615496,0.412053344,0.03888073,0.211335724,0.046281962,0.145046519,0.020396753,0.123047539,0.018379691,1.496147907,84.39317167
RJ-D8-3,5.264171539,105.2689648,1.086170505,3.975180812,0.584863252,0.071118708,0.598047621,0.059777762,0.340212518,0.070891314,0.223035461,0.030254247,0.183835085,0.027313488,2.37034782,120.1541849
RJ-D1-16,72.23723631,19.27117863,17.77147535,66.4730545,7.01764287,0.406003278,3.144312953,0.482327541,1.346576225,0.357278039,0.663224951,0.115660841,0.409637152,0.059600149,6.720190198,196.475399
RJ-D9-2,3.614070748,90.3638502,0.830283386,3.034442599,0.489732493,0.068460399,0.527188465,0.054512813,0.308147347,0.065780221,0.205427807,0.029370505,0.173991749,0.024423805,1.993381536,101.7830641
RJ-D1-18,120.5531411,21.08238309,29.00615821,106.1018706,10.66824377,0.584118401,4.58630976,0.657808322,1.694411323,0.434518983,0.807681488,0.129417924,0.438258968,0.061981658,8.274412627,305.0807163
RJ-D2-6,5.082556406,89.28227842,0.992785382,3.539567246,0.411290568,0.047431632,0.405208947,0.047014516,0.147901851,0.043839422,0.083544088,0.014285712,0.046074039,0.00702751,1.230135374,101.3809411
RJ-D1-14,45.02274216,23.52976534,10.53729564,37.06483933,4.0194935,0.259075434,2.043410276,0.319491473,0.920519174,0.252929842,0.460483289,0.079741958,0.268660413,0.039776663,5.280251127,130.0984756
RJ-D7-14,88.29518182,35.04794634,24.65420329,90.60972177,9.125930774,0.500637274,3.841626553,0.40987709,1.863344917,0.373830413,1.172900471,0.150661287,0.899592169,0.123698463,9.67617086,266.7453235
RJ-D2-10,36.20646428,53.82021419,8.688333615,33.08468799,4.306731629,0.352678655,2.264047699,0.406204084,1.419274604,0.419944875,0.807929868,0.169064879,0.625951144,0.089350838,7.764444379,150.4253227
RJ-D9-10,20.6087537,19.53173852,5.194237284,19.26163911,2.558415523,0.211072516,1.379351405,0.179996853,1.004853694,0.196173728,0.590743453,0.079316847,0.470182785,0.067160755,5.136919016,76.47055519
RJ-D1-15,62.49803608,19.98414353,15.7492279,55.69073798,6.24173749,0.383935051,2.946107399,0.475415312,1.360454876,0.365693291,0.687965035,0.124454705,0.453576579,0.063109478,7.025758281,174.050353
